,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000,unempr,grp,rGDP,pref2,suicide,death_rate,liver_disease,liver_disease_m,liver_disease_f,liver_disease_rate,year,loony,suicide_per_1000,loony_per_1000,liver_disease_1000,log_adult_population_per_1000,log_suicide_per_1000,log_loony_per_1000,liver_disease_per_1000,log_liver_disease_per_1000,log_cons_per_1000,log_loony_per_1000FE,rGDPFE,log_cons_per_1000FE,log_liver_disease_per_1000FE,burdenFE,log_adult_population,log_adult_populationFE,log_suicide_per_1000FE,pref_id
156,石川,石  川,0.354751742,6016.315,23,950,6.332963158,3.725,4838087,0.4,石  川,241,21,51,37,14,4,24,1.1,0.253684211,0.001157895,0.053684211,6.856461985,-1.371665051,-6.761151805,0.053684211,-2.924636352,8.753523519,0.163308719,-0.413333333,-0.115036955,-0.111999021,-0.01466008,6.856461985,0.004304686,-0.034458209,18
157,福井,福  井,0.358190165,3737.37,23,652,5.732162577,2.975,3535353,0.4,福  井,159,20,54,36,18,7,24,0.7,0.243865031,0.00107362,0.082822086,6.480044562,-1.41114036,-6.836719506,0.082822086,-2.491060515,8.653848152,0.22731291,-0.413333333,-0.134670781,0.260691501,-0.015221616,6.480044562,-0.001311269,-0.076039043,19
158,岐阜,岐  阜,0.358829407,8679.015,23,1681,5.163007139,3.6,7668258,0.4,岐  阜,425,21,97,70,27,5,24,1,0.252825699,0.000594884,0.057703748,7.427144133,-1.375054964,-7.427144133,0.057703748,-2.852433155,8.549274468,-0.164071811,-0.413333333,-0.12811945,-0.001768863,-0.014041285,7.427144133,-0.001191975,-0.067066193,20
159,静岡,静  岡,0.361378474,18432.255,23,3066,6.011824853,3.55,17094100,0.4,静  岡,751,20,184,131,53,5,24,3.3,0.244944553,0.001076321,0.060013046,8.028129059,-1.406723408,-6.834206591,0.060013046,-2.813193302,8.701483618,0.40461618,-0.413333333,-0.110263307,-0.024696747,-0.013363284,8.028129059,0.00258587,-0.033957611,21
160,愛知,愛  知,0.367674425,32930.295,23,5993,5.494793092,3.575,35859702,0.4,愛  知,1332,18,327,235,92,5,24,4.9,0.222259303,0.000817621,0.054563658,8.6983474,-1.503910549,-7.109112195,0.054563658,-2.90838723,8.611556212,0.174452291,-0.413333333,-0.146863771,0.006458049,-0.013810137,8.6983474,0.025284264,-0.084013667,22
161,三重,三  重,0.355950121,7847.61,23,1505,5.214358804,3.475,8454063,0.4,三  重,370,20,98,69,29,5,24,2.2,0.245847176,0.001461794,0.065116279,7.316548177,-1.403045172,-6.528090817,0.065116279,-2.731580699,8.559171408,0.396740008,-0.413333333,-0.101858196,0.031889978,-0.013445308,7.316548177,0.002814324,-0.013079293,23
162,滋賀,滋  賀,0.352305397,5648.955,23,1129,5.0035031,3.65,6544577,0.4,滋  賀,282,20,65,52,13,5,24,1.2,0.249778565,0.001062888,0.057573074,7.029087564,-1.387180493,-6.846766007,0.057573074,-2.854700294,8.517893566,0.272596915,-0.413333333,-0.122575197,0.021725206,-0.013070427,7.029087564,0.027423494,-0.026560192,24
163,京都,京  都,0.364552732,13257.63,23,2174,6.098265869,4.7,10439457,0.4,京  都,447,17,138,97,41,5,24,2,0.205611776,0.000919963,0.063477461,7.684324068,-1.581765473,-6.991176887,0.063477461,-2.757070383,8.715759726,0.063245269,-0.413333333,-0.111277052,0.062607327,-0.014171592,7.684324068,0.01054471,-0.181744155,25
164,大阪,大  阪,0.368471718,49660.83,23,7284,6.81779654,5.1,38995280,0.4,大  阪,1877,22,713,525,188,8,24,4.3,0.257688083,0.000590335,0.097885777,8.893435441,-1.356005404,-7.434820418,0.097885777,-2.32395402,8.827291611,-0.130266925,-0.413333333,-0.123492615,0.125368096,-0.014066204,8.893435441,0.014670157,-0.071154002,26
165,兵庫,兵  庫,0.361970931,27033.975,23,4556,5.933708297,4.625,20277077,0.4,兵  庫,1135,21,356,272,84,7,24,4.2,0.249122037,0.000921861,0.078138718,8.424200325,-1.389812395,-6.989115799,0.078138718,-2.549269594,8.688404642,0.138519259,-0.413333333,-0.094333652,0.063266637,-0.013652328,8.424200325,0.010592334,-0.07256773,27
