,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000adult,unempr,grp,pref2,suicide,liver_disease,liver_disease_rate,year,loony,suicide_per_1000adult,loony_per_1000adult,liver_disease_1000,liver_disease_per_1000,pref_id,over65,total_population,cons_per_1000,over65rate,suicide_per_1000,loony_per_1000,grp_per_1000,birth_num,marriage_num,divorce_num,birth_rate,marriage_rate,divorce_rate
113,静岡,静  岡,0.361378474,18027.98,24,3055,5.901139116,3.325,17045901,静  岡,759,227,6,25,3.3,0.248445172,0.001080196,0.074304419,0.074304419,21,24.9,3735,4.826768407,0.249,0.203212851,0.000883534,4563.828916,2539.75,1595.25,566,0.679986613,0.427108434,0.151539491
114,愛知,愛  知,0.367674425,32091.48,24,6011,5.338792214,3.55,37273853,愛  知,1389,363,5,25,4.9,0.23107636,0.000815172,0.060389286,0.060389286,22,21.4,7427,4.320920964,0.214,0.187020331,0.000659755,5018.695705,5626.416667,3522.666667,1110.583333,0.757562497,0.474305462,0.149533235
115,三重,三  重,0.355950121,7732.365,24,1501,5.151475683,3.225,8704357,三  重,348,90,5,25,2.2,0.231845436,0.00146569,0.059960027,0.059960027,23,25.3,1840,4.202372283,0.253,0.189130435,0.001195652,4730.628804,1208.5,744.8333333,270.3333333,0.656793478,0.404800725,0.14692029
116,滋賀,滋  賀,0.352305397,5591.195,24,1132,4.939218198,3.875,6490821,滋  賀,293,63,5,25,1.2,0.258833922,0.001060071,0.05565371,0.05565371,24,21.6,1415,3.951374558,0.216,0.207067138,0.000848057,4587.15265,1089.166667,605,192.25,0.769729093,0.427561837,0.135865724
117,京都,京  都,0.364552732,13313.845,24,2172,6.129762891,4.55,10408910,京  都,498,138,5,25,2,0.229281768,0.00092081,0.063535912,0.063535912,25,24.7,2625,5.071940952,0.247,0.189714286,0.000761905,3965.299048,1664.083333,1092.916667,390.25,0.633936508,0.416349206,0.148666667
118,大阪,大  阪,0.368471718,49840.15,24,7289,6.837721224,5.5,38851996,大  阪,1811,659,8,25,4.3,0.248456578,0.00058993,0.090410207,0.090410207,26,23.7,8856,5.627839883,0.237,0.204494128,0.000485547,4387.081752,6020.833333,3970.583333,1541.25,0.679859229,0.448349518,0.174034553
119,兵庫,兵  庫,0.361970931,27119.36,24,4551,5.958989233,4.575,20188430,兵  庫,1126,365,7,25,4.2,0.24741815,0.000922874,0.080202153,0.080202153,27,24.3,5571,4.867951894,0.243,0.202118112,0.000753904,3623.843116,3836.083333,2333.166667,842.5833333,0.688580745,0.41880572,0.15124454
120,奈良,奈  良,0.35701653,5537.99,24,1138,4.86642355,4.25,3742205,奈  良,252,68,5,25,0.9,0.221441125,0.000790861,0.059753954,0.059753954,28,25.5,1390,3.984165468,0.255,0.181294964,0.000647482,2692.233813,867.1666667,512.8333333,194.3333333,0.623860911,0.368944844,0.139808153
121,和歌山,和歌山,0.359681611,4973.18,24,813,6.117072571,3.6,3734772,和歌山,208,58,6,25,0.8,0.255842558,0.00098401,0.071340713,0.071340713,29,28.4,988,5.033582996,0.284,0.210526316,0.000809717,3780.133603,611.8333333,381.5,164.0833333,0.619264507,0.386133603,0.166076248
122,鳥取,鳥  取,0.352057282,3124.93,24,475,6.5788,3.65,1963816,鳥  取,121,28,5,25,0.6,0.254736842,0.001263158,0.058947368,0.058947368,30,27.2,582,5.369295533,0.272,0.20790378,0.001030928,3374.254296,387.9166667,229.8333333,86,0.666523482,0.394902635,0.147766323
