,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000adult,unempr,grp,pref2,suicide,liver_disease,liver_disease_rate,year,loony,suicide_per_1000adult,loony_per_1000adult,liver_disease_1000,liver_disease_per_1000,pref_id,over65,total_population,cons_per_1000,over65rate,suicide_per_1000,loony_per_1000,grp_per_1000
162,滋賀,滋  賀,0.352305397,5648.955,23,1129,5.0035031,3.65,6544577,滋  賀,282,65,5,24,1.2,0.249778565,0.001062888,0.057573074,0.057573074,24,20.9,1414,3.99501768,0.209,0.199434229,0.000848656,4628.41372
163,京都,京  都,0.364552732,13257.63,23,2174,6.098265869,4.7,10439457,京  都,447,138,5,24,2,0.205611776,0.000919963,0.063477461,0.063477461,25,23.7,2632,5.037093465,0.237,0.169832827,0.000759878,3966.359043
164,大阪,大  阪,0.368471718,49660.83,23,7284,6.81779654,5.1,38995280,大  阪,1877,713,8,24,4.3,0.257688083,0.000590335,0.097885777,0.097885777,26,22.7,8861,5.604427266,0.227,0.211827108,0.000485273,4400.776436
165,兵庫,兵  庫,0.361970931,27033.975,23,4556,5.933708297,4.625,20277077,兵  庫,1135,356,7,24,4.2,0.249122037,0.000921861,0.078138718,0.078138718,27,23.4,5582,4.843062522,0.234,0.203332139,0.000752418,3632.582766
166,奈良,奈  良,0.35701653,5605.445,23,1143,4.904151356,4.475,3741920,奈  良,245,71,5,24,0.9,0.214348206,0.000787402,0.062117235,0.062117235,28,24.4,1396,4.015361748,0.244,0.175501433,0.000644699,2680.458453
167,和歌山,和歌山,0.359681611,4720.14,23,822,5.742262774,3.85,3679374,和歌山,180,72,7,24,0.8,0.218978102,0.000973236,0.087591241,0.087591241,29,27.5,995,4.743859296,0.275,0.180904523,0.00080402,3697.863317
168,鳥取,鳥  取,0.352057282,3273.51,23,481,6.805634096,3.75,1971785,鳥  取,121,45,8,24,0.6,0.251559252,0.001247401,0.093555094,0.093555094,30,26.4,585,5.59574359,0.264,0.206837607,0.001025641,3370.57265
169,島根,島  根,0.347822085,4007.075,23,585,6.849700855,2.725,2572839,島  根,160,61,9,24,0.8,0.273504274,0.001367521,0.104273504,0.104273504,31,29.1,712,5.627914326,0.291,0.224719101,0.001123596,3613.537921
170,岡山,岡  山,0.354405562,8899.69,23,1582,5.625594185,3.65,7899075,岡  山,360,110,6,24,2.4,0.227560051,0.001517067,0.069532238,0.069532238,32,25.4,1941,4.585105616,0.254,0.185471406,0.001236476,4069.590417
171,広島,広  島,0.361519053,15359.38,23,2332,6.58635506,3.525,11875687,広  島,579,162,6,24,2.1,0.248284734,0.000900515,0.069468268,0.069468268,33,24.3,2855,5.379817863,0.243,0.202802102,0.000735552,4159.610158
172,山口,山  口,0.361439063,7595.855,23,1191,6.377712007,3.4,6099794,山  口,331,96,7,24,1,0.277917716,0.000839631,0.080604534,0.080604534,34,28.2,1442,5.267583218,0.282,0.229542302,0.000693481,4230.092926
173,徳島,徳  島,0.359273732,3688.27,23,646,5.709396285,4.175,3074798,徳  島,147,54,7,24,0.9,0.22755418,0.001393189,0.083591331,0.083591331,35,27.1,780,4.728551282,0.271,0.188461538,0.001153846,3942.048718
174,香川,香  川,0.360131996,4559.705,23,815,5.594730061,3.65,3941408,香  川,172,71,7,24,0.7,0.211042945,0.000858896,0.087116564,0.087116564,36,26.1,992,4.596476815,0.261,0.173387097,0.000705645,3973.193548
175,愛媛,愛  媛,0.363573313,7086.04,23,1173,6.040954817,4.075,5362568,愛  媛,290,96,7,24,1.2,0.247229327,0.001023018,0.081841432,0.081841432,37,26.9,1423,4.97964863,0.269,0.2037948,0.000843289,3768.494729
176,高知,高  知,0.364689133,4537.515,23,632,7.179612342,4.15,2293692,高  知,194,64,9,24,0.7,0.306962025,0.001107595,0.101265823,0.101265823,38,29,758,5.986167546,0.29,0.255936675,0.000923483,3025.978892
177,福岡,福  岡,0.363552938,27658.395,23,4141,6.679158416,5.475,18681392,福  岡,1119,308,6,24,8,0.270224583,0.001931901,0.07437817,0.07437817,39,22.5,5079,5.445637921,0.225,0.22031896,0.001575113,3678.163418
178,佐賀,佐  賀,0.354858113,4281.015,23,679,6.30488218,4.05,2878484,佐  賀,176,49,6,24,0.8,0.259204713,0.001178203,0.072164948,0.072164948,40,24.7,847,5.054327037,0.247,0.207792208,0.00094451,3398.446281
179,長崎,長  崎,0.363380971,7410.265,23,1153,6.426942758,4.525,4673200,長  崎,248,93,7,24,1.8,0.215091067,0.001561145,0.08065915,0.08065915,41,26.2,1417,5.229544813,0.262,0.175017643,0.001270289,3297.953423
180,熊本,熊  本,0.369654062,9805.71,23,1472,6.661487772,4.525,5997718,熊  本,428,110,6,24,2.6,0.29076087,0.001766304,0.074728261,0.074728261,42,25.8,1813,5.408554881,0.258,0.236072808,0.001434087,3308.173194
181,大分,大  分,0.361946709,7028.395,23,977,7.193853634,4.025,4631790,大  分,261,79,7,24,1,0.267144319,0.001023541,0.080859775,0.080859775,43,26.8,1191,5.901255248,0.268,0.219143577,0.000839631,3888.992443
182,宮崎,宮  崎,0.36403897,8322.47,23,917,9.075757906,4.125,3729792,宮  崎,277,77,7,24,1.8,0.302071974,0.001962923,0.083969466,0.083969466,44,25.9,1131,7.358505747,0.259,0.244916004,0.001591512,3297.782493
183,鹿児島,鹿児島,0.368158273,13737.535,23,1382,9.940329233,4.625,5709742,鹿児島,364,99,6,24,1.8,0.263386397,0.00130246,0.071635311,0.071635311,45,26.5,1699,8.085659211,0.265,0.214243673,0.001059447,3360.648617
184,北海道,北海道,0.367391314,33523.875,22,4589,7.305268032,5.225,18715457,北海道,1312,310,6,23,8,0.285901068,0.001743299,0.067552844,0.067552844,0,24.7,5506,6.088607882,0.247,0.238285507,0.00145296,3399.102252
185,青森,青  森,0.362744529,9257.2,22,1134,8.163315697,6.425,4577205,青  森,356,106,8,23,0.9,0.313932981,0.000793651,0.093474427,0.093474427,1,25.9,1373,6.742316096,0.259,0.259286235,0.000655499,3333.725419
186,岩手,岩  手,0.357762766,7514.17,22,1093,6.874812443,5.15,4335971,岩  手,370,85,7,23,1.4,0.338517841,0.001280878,0.077767612,0.077767612,2,27.1,1330,5.64975188,0.271,0.278195489,0.001052632,3260.128571
187,宮城,宮  城,0.355073126,11196.155,22,1920,5.831330729,5.75,8210249,宮  城,480,121,5,23,1.9,0.25,0.000989583,0.063020833,0.063020833,3,22.4,2348,4.768379472,0.224,0.204429302,0.000809199,3496.698893
188,秋田,秋  田,0.348791463,7439.32,22,916,8.121528384,5.275,3642326,秋  田,346,86,8,23,1.1,0.377729258,0.001200873,0.093886463,0.093886463,4,29.7,1086,6.850202578,0.297,0.318600368,0.001012891,3353.891344
189,山形,山  形,0.349443046,6708.115,22,966,6.944218427,4.525,4015143,山  形,264,59,5,23,1.3,0.273291925,0.001345756,0.061076605,0.061076605,5,27.6,1169,5.738336185,0.276,0.225834046,0.001112062,3434.681779
190,福島,福  島,0.349363238,9338.795,22,1650,5.659875758,5.125,7551662,福  島,502,137,7,23,1.9,0.304242424,0.001151515,0.083030303,0.083030303,6,25,2029,4.602658945,0.25,0.247412518,0.000936422,3721.863972
191,茨城,茨  城,0.359219154,12658.8,22,2426,5.21797197,4.725,11900115,茨  城,682,173,6,23,2.3,0.281121187,0.000948063,0.0713108,0.0713108,7,22.5,2970,4.262222222,0.225,0.22962963,0.000774411,4006.772727
192,栃木,栃  木,0.35975034,9642.22,22,1645,5.861531915,4.625,8604429,栃  木,479,108,6,23,1.2,0.29118541,0.000729483,0.065653495,0.065653495,8,22.1,2008,4.80190239,0.221,0.238545817,0.00059761,4285.074203
193,群馬,群  馬,0.359816138,10085.185,22,1634,6.172083843,4.625,7981292,群  馬,476,129,7,23,2.1,0.29130967,0.00128519,0.078947368,0.078947368,9,23.6,2008,5.02250249,0.236,0.237051793,0.001045817,3974.747012
194,埼玉,埼  玉,0.361479395,33101.995,22,5882,5.627676811,5.025,21118425,埼  玉,1586,342,5,23,5,0.269636178,0.000850051,0.058143489,0.058143489,10,20.4,7195,4.600694232,0.204,0.220430855,0.000694927,2935.152884
195,新潟,新  潟,0.340912992,15382.83,22,1961,7.844380418,4.375,9079673,新  潟,651,156,7,23,2.5,0.331973483,0.00127486,0.079551249,0.079551249,11,26.3,2374,6.479709351,0.263,0.274220725,0.001053075,3824.630581
196,長野,長  野,0.352804807,11662.33,22,1757,6.637638019,3.825,8462682,長  野,493,131,6,23,1.9,0.280591918,0.001081389,0.074558907,0.074558907,12,26.5,2152,5.419298327,0.265,0.229089219,0.0008829,3932.473048
197,千葉,千  葉,0.359308045,28731.075,22,5124,5.607157494,4.7,20259730,千  葉,1370,274,5,23,4.3,0.267369243,0.000839188,0.053473849,0.053473849,13,21.5,6216,4.622116313,0.215,0.22039897,0.000691763,3259.287323
198,東京,東  京,0.368368636,96887.355,22,11121,8.712108174,5.45,95249803,東  京,2919,1041,8,23,11.9,0.262476396,0.001070048,0.09360669,0.09360669,14,20.4,13159,7.362820503,0.204,0.221825367,0.000904324,7238.377004
199,神奈川,神奈川,0.363160299,41841.3,22,7435,5.627612643,4.8,31490399,神奈川,1872,474,5,23,5.1,0.251782112,0.000685945,0.063752522,0.063752522,15,20.2,9048,4.624370027,0.202,0.206896552,0.00056366,3480.371242
200,山梨,山  梨,0.360530062,4451.59,22,702,6.341296296,4.2,3465593,山  梨,212,56,7,23,0.6,0.301994302,0.000854701,0.07977208,0.07977208,16,24.8,863,5.158273465,0.248,0.245654693,0.000695249,4015.750869
201,富山,富  山,0.353979637,5731.93,22,904,6.340630531,3.75,4561257,富  山,271,62,6,23,0.8,0.299778761,0.000884956,0.068584071,0.068584071,17,26.3,1093,5.244217749,0.263,0.247941446,0.00073193,4173.153705
202,石川,石  川,0.354751742,5944.35,22,952,6.244065126,4.25,4750647,石  川,261,63,5,23,1.3,0.274159664,0.001365546,0.066176471,0.066176471,18,23.8,1170,5.080641026,0.238,0.223076923,0.001111111,4060.382051
203,福井,福  井,0.358190165,3785.905,22,655,5.780007634,3.275,3548932,福  井,146,57,7,23,0.6,0.222900763,0.000916031,0.087022901,0.087022901,19,25.3,806,4.697152605,0.253,0.181141439,0.000744417,4403.141439
204,岐阜,岐  阜,0.358829407,8762.18,22,1688,5.190864929,3.65,7517965,岐  阜,460,107,5,23,1.5,0.272511848,0.000888626,0.063388626,0.063388626,20,24.1,2081,4.21056223,0.241,0.221047573,0.000720807,3612.66939
205,静岡,静  岡,0.361378474,19247.475,22,3085,6.239051864,3.85,16801351,静  岡,832,212,6,23,2.2,0.269692058,0.000713128,0.068719611,0.068719611,21,23.9,3765,5.112211155,0.239,0.220982736,0.000584329,4462.510226
206,愛知,愛  知,0.367674425,33004.595,22,5981,5.518240261,4.075,34077499,愛  知,1481,348,5,23,5.9,0.247617455,0.000986457,0.05818425,0.05818425,22,20.3,7411,4.453460397,0.203,0.199838079,0.000796114,4598.232222
207,三重,三  重,0.355950121,7876.025,22,1512,5.209011243,3.85,8392252,三  重,359,96,5,23,1.7,0.237433862,0.001124339,0.063492063,0.063492063,23,24.3,1855,4.24583558,0.243,0.193530997,0.000916442,4524.125067
208,滋賀,滋  賀,0.352305397,5514.225,22,1125,4.901533333,4.45,6483754,滋  賀,309,62,4,23,0.9,0.274666667,0.0008,0.055111111,0.055111111,24,20.6,1411,3.908026223,0.206,0.218993622,0.000637845,4595.148122
209,京都,京  都,0.364552732,13272.175,22,2166,6.127504617,5.475,10199289,京  都,520,137,5,23,2.7,0.240073869,0.001246537,0.063250231,0.063250231,25,23.4,2636,5.034967754,0.234,0.197268589,0.001024279,3869.229514
210,大阪,大  阪,0.368471718,49940.265,22,7273,6.866528943,6.675,38281635,大  阪,1954,681,8,23,5,0.268664925,0.000687474,0.093633989,0.093633989,26,22.4,8865,5.633419628,0.224,0.220417372,0.000564016,4318.28934
211,兵庫,兵  庫,0.361970931,26343.905,22,4558,5.779707108,5.175,20394968,兵  庫,1256,340,6,23,4.6,0.275559456,0.001009215,0.07459412,0.07459412,27,23.1,5588,4.714370974,0.231,0.224767359,0.000823193,3649.779528
212,奈良,奈  良,0.35701653,5830.895,22,1143,5.101395451,4.725,3763903,奈  良,242,79,6,23,1.1,0.211723535,0.00096238,0.06911636,0.06911636,28,23.9,1401,4.161952177,0.239,0.172733762,0.000785153,2686.583155
213,和歌山,和歌山,0.359681611,4838.245,22,827,5.850356711,4.2,3595835,和歌山,236,87,9,23,0.7,0.285368803,0.000846433,0.105199516,0.105199516,29,27.3,1002,4.828587824,0.273,0.235528942,0.000698603,3588.657685
214,鳥取,鳥  取,0.352057282,3356.705,22,483,6.949699793,4.275,1938180,鳥  取,147,46,8,23,0.9,0.304347826,0.001863354,0.095238095,0.095238095,30,26.3,589,5.698989813,0.263,0.249575552,0.001528014,3290.628183
215,島根,島  根,0.347822085,4095.915,22,591,6.930482234,2.85,2481176,島  根,186,54,8,23,0.9,0.314720812,0.001522843,0.091370558,0.091370558,31,29,717,5.712573222,0.29,0.259414226,0.00125523,3460.496513
216,岡山,岡  山,0.354405562,9008.465,22,1585,5.683574132,4.125,7518826,岡  山,388,94,5,23,1.2,0.244794953,0.000757098,0.059305994,0.059305994,32,25.2,1945,4.631601542,0.252,0.199485861,0.000616967,3865.720308
217,広島,広  島,0.361519053,15274.115,22,2337,6.535778776,3.975,11160917,広  島,553,160,6,23,2.8,0.236628156,0.001198117,0.068463843,0.068463843,33,24,2861,5.338732961,0.24,0.19328906,0.000978679,3901.054526
218,山口,山  口,0.361439063,7631.01,22,1201,6.3538801,3.775,5991675,山  口,344,101,7,23,1.5,0.286427977,0.001248959,0.084096586,0.084096586,34,27.9,1451,5.259138525,0.279,0.237077877,0.00103377,4129.341833
219,徳島,徳  島,0.359273732,3742.96,22,652,5.740736196,4.5,3026850,徳  島,146,70,9,23,0.7,0.22392638,0.00107362,0.107361963,0.107361963,35,27,785,4.768101911,0.27,0.185987261,0.00089172,3855.859873
220,香川,香  川,0.360131996,4648.355,22,819,5.675647131,3.825,3762949,香  川,239,55,6,23,0.7,0.291819292,0.000854701,0.067155067,0.067155067,36,25.9,996,4.667023092,0.259,0.239959839,0.000702811,3778.061245
221,愛媛,愛  媛,0.363573313,7093.51,22,1181,6.006359018,4.45,5102991,愛  媛,305,90,6,23,1.3,0.258255715,0.001100762,0.076206605,0.076206605,37,26.7,1431,4.957030049,0.267,0.213137666,0.000908456,3566.031447
222,高知,高  知,0.364689133,4849.615,22,638,7.601277429,4.8,2289682,高  知,197,67,9,23,0.9,0.308777429,0.001410658,0.105015674,0.105015674,38,28.9,764,6.347663613,0.289,0.257853403,0.00117801,2996.965969
223,福岡,福  岡,0.363552938,27744.485,22,4127,6.722676278,5.95,18467390,福  岡,1224,346,7,23,5.2,0.296583475,0.001259995,0.083838139,0.083838139,39,22.3,5072,5.470127169,0.223,0.241324921,0.001025237,3641.046924
224,佐賀,佐  賀,0.354858113,4385.595,22,682,6.430491202,4.5,2924083,佐  賀,172,51,6,23,0.8,0.252199413,0.001173021,0.074780059,0.074780059,40,24.6,850,5.159523529,0.246,0.202352941,0.000941176,3440.097647
225,長崎,長  崎,0.363380971,7522.06,22,1162,6.473373494,5,4567692,長  崎,320,96,7,23,1.4,0.275387263,0.001204819,0.082616179,0.082616179,41,26.1,1427,5.271240364,0.261,0.224246671,0.000981079,3200.905396
226,熊本,熊  本,0.369654062,10166.915,22,1475,6.892823729,4.9,5819756,熊  本,416,112,6,23,2.2,0.282033898,0.001491525,0.075932203,0.075932203,42,25.6,1817,5.595440286,0.256,0.228948817,0.001210787,3202.947716
227,大分,大  分,0.361946709,7013.295,22,985,7.120096447,4.45,4525567,大  分,251,69,6,23,1.1,0.254822335,0.001116751,0.070050761,0.070050761,43,26.6,1197,5.85906015,0.266,0.209690894,0.000918964,3780.757728
228,宮崎,宮  崎,0.36403897,8285.11,22,919,9.015353645,5.25,3651054,宮  崎,312,85,8,23,1.2,0.339499456,0.001305767,0.092491839,0.092491839,44,25.7,1135,7.299656388,0.257,0.274889868,0.001057269,3216.787665
229,鹿児島,鹿児島,0.368158273,13712.62,22,1389,9.872296616,4.95,5700288,鹿児島,411,126,7,23,1.6,0.295896328,0.001151908,0.090712743,0.090712743,45,26.5,1706,8.037878077,0.265,0.24091442,0.000937866,3341.317702
230,北海道,北海道,0.367391314,33586.28,21,4599,7.302952816,5.175,18480517,北海道,1393,269,5,22,8,0.302891933,0.001739509,0.058490976,0.058490976,0,24.2,5507,6.098834211,0.242,0.25295079,0.001452697,3355.822953
231,青森,青  森,0.362744529,9418.665,21,1139,8.269240562,6.775,4519404,青  森,403,98,7,22,0.9,0.35381914,0.000790167,0.086040386,0.086040386,1,24.9,1379,6.830068891,0.249,0.292240754,0.000652647,3277.305294
232,岩手,岩  手,0.357762766,8172.885,21,1110,7.362959459,5.6,4311851,岩  手,426,81,6,22,1.4,0.383783784,0.001261261,0.072972973,0.072972973,2,26.8,1340,6.09916791,0.268,0.317910448,0.001044776,3217.799254
233,宮城,宮  城,0.355073126,12883.53,21,1908,6.752374214,6.2,8016359,宮  城,533,138,6,22,1.9,0.279350105,0.000995807,0.072327044,0.072327044,3,22.1,2336,5.51520976,0.221,0.228167808,0.000813356,3431.660531
234,秋田,秋  田,0.348791463,7695.085,21,924,8.328014069,5.5,3571431,秋  田,358,67,6,22,1.1,0.387445887,0.001190476,0.072510823,0.072510823,4,28.9,1096,7.021062956,0.289,0.326642336,0.00100365,3258.604927
235,山形,山  形,0.349443046,7035.19,21,973,7.2304111,4.8,3773924,山  形,307,57,5,22,1.3,0.315519013,0.001336074,0.058581706,0.058581706,5,27,1179,5.967082273,0.27,0.260390161,0.001102629,3200.95335
236,福島,福  島,0.349363238,11645.065,21,1648,7.066180218,5.45,7461078,福  島,508,107,5,22,1.9,0.308252427,0.001152913,0.064927184,0.064927184,6,24.7,2040,5.708365196,0.247,0.249019608,0.000931373,3657.391176
237,茨城,茨  城,0.359219154,14068.255,21,2416,5.822953228,4.925,11153775,茨  城,701,151,5,22,2.3,0.290149007,0.000951987,0.0625,0.0625,7,22,2960,4.752788851,0.22,0.236824324,0.000777027,3768.16723
238,栃木,栃  木,0.35975034,9732.445,21,1633,5.959856093,4.825,8127728,栃  木,495,112,6,22,1.2,0.303123086,0.000734844,0.068585426,0.068585426,8,21.7,2006,4.851667498,0.217,0.246759721,0.000598205,4051.708873
239,群馬,群  馬,0.359816138,10226.195,21,1642,6.227889769,4.85,7613278,群  馬,508,121,6,22,2.1,0.309378806,0.001278928,0.073690621,0.073690621,9,23.1,2007,5.095264076,0.231,0.253114101,0.001046338,3793.362232
240,埼玉,埼  玉,0.361479395,34092.865,21,5800,5.878080172,5.05,20425625,埼  玉,1642,330,5,22,5,0.283103448,0.000862069,0.056896552,0.056896552,10,20,7130,4.781607994,0.2,0.23029453,0.000701262,2864.744039
241,新潟,新  潟,0.340912992,15765.53,21,1968,8.010940041,4.575,8734675,新  潟,675,142,6,22,2.5,0.342987805,0.001270325,0.072154472,0.072154472,11,26.1,2378,6.629743482,0.261,0.283851976,0.001051304,3673.118167
242,長野,長  野,0.352804807,11682.68,21,1769,6.604115319,4.35,8145261,長  野,501,125,6,22,1.9,0.283210854,0.001074053,0.070661391,0.070661391,12,26.2,2159,5.411153312,0.262,0.232051876,0.000880037,3772.700787
243,千葉,千  葉,0.359308045,29468.87,21,5030,5.858622266,4.625,19900372,千  葉,1329,274,5,22,4.3,0.264214712,0.000854871,0.054473161,0.054473161,13,21,6139,4.800272031,0.21,0.21648477,0.00070044,3241.630885
244,東京,東  京,0.368368636,93178.025,21,10753,8.665305031,4.975,93857927,東  京,2827,1057,8,22,11.9,0.262903376,0.001106668,0.098298149,0.098298149,14,20.9,12868,7.241065045,0.209,0.21969226,0.000924775,7293.901694
245,神奈川,神奈川,0.363160299,42042.905,21,7320,5.743566257,5.225,30740343,神奈川,1890,457,5,22,5.1,0.258196721,0.000696721,0.062431694,0.062431694,15,20,8943,4.701208208,0.2,0.211338477,0.000570278,3437.363636
246,山梨,山  梨,0.360530062,4573.235,21,707,6.468507779,4.325,3159366,山  梨,233,54,6,22,0.6,0.329561528,0.000848656,0.076379066,0.076379066,16,24.3,867,5.274780854,0.243,0.268742791,0.000692042,3644.020761
247,富山,富  山,0.353979637,5838.28,21,910,6.415692308,3.975,4260787,富  山,249,68,6,22,0.8,0.273626374,0.000879121,0.074725275,0.074725275,17,26,1095,5.331762557,0.26,0.22739726,0.000730594,3891.12968
248,石川,石  川,0.354751742,6062.76,21,948,6.395316456,4.35,4546790,石  川,261,60,5,22,1.3,0.275316456,0.001371308,0.063291139,0.063291139,18,23.5,1165,5.204085837,0.235,0.224034335,0.00111588,3902.824034
249,福井,福  井,0.358190165,3879.99,21,651,5.960046083,3.45,3407417,福  井,160,39,5,22,0.6,0.24577573,0.000921659,0.059907834,0.059907834,19,24.8,808,4.801967822,0.248,0.198019802,0.000742574,4217.100248
250,岐阜,岐  阜,0.358829407,8834.51,21,1706,5.178493552,4.1,7295522,岐  阜,426,115,6,22,1.5,0.249706917,0.00087925,0.067409144,0.067409144,20,23.6,2092,4.222997132,0.236,0.203632887,0.000717017,3487.343212
251,静岡,静  岡,0.361378474,18784.23,21,3111,6.038003857,4.225,15947396,静  岡,854,191,5,22,2.2,0.274509804,0.000707168,0.06139505,0.06139505,21,23.3,3792,4.953647152,0.233,0.22521097,0.000580169,4205.53692
252,愛知,愛  知,0.367674425,33550.59,21,5967,5.622689794,4.75,33647515,愛  知,1434,350,5,22,5.9,0.24032177,0.000988772,0.058655941,0.058655941,22,19.8,7418,4.522861957,0.198,0.193313562,0.000795363,4535.928148
253,三重,三  重,0.355950121,7981.45,21,1527,5.226882777,4.45,7845102,三  重,351,104,6,22,1.7,0.229862475,0.001113294,0.0681074,0.0681074,23,23.8,1870,4.26815508,0.238,0.187700535,0.000909091,4195.241711
254,滋賀,滋  賀,0.352305397,5829.625,21,1122,5.195744207,4.125,6127124,滋  賀,308,63,5,22,0.9,0.274509804,0.000802139,0.056149733,0.056149733,24,20.2,1405,4.149199288,0.202,0.219217082,0.000640569,4360.942349
255,京都,京  都,0.364552732,13268.79,21,2145,6.185916084,5.75,9941796,京  都,584,135,5,22,2.7,0.272261072,0.001258741,0.062937063,0.062937063,25,23.1,2622,5.060560641,0.231,0.22273074,0.001029748,3791.684211
256,大阪,大  阪,0.368471718,50807.08,21,7166,7.090019537,6.775,37560687,大  阪,2096,628,7,22,5,0.292492325,0.000697739,0.087636059,0.087636059,26,22,8801,5.77287581,0.22,0.238154755,0.000568117,4267.774912
257,兵庫,兵  庫,0.361970931,27562.97,21,4546,6.063125825,5.35,18982870,兵  庫,1256,363,7,22,4.6,0.276286846,0.001011879,0.079850418,0.079850418,27,22.8,5583,4.936946086,0.228,0.224968655,0.00082393,3400.120007
258,奈良,奈  良,0.35701653,5650.36,21,1145,4.934812227,4.725,3610813,奈  良,267,65,5,22,1.1,0.233187773,0.000960699,0.056768559,0.056768559,28,23.5,1399,4.038856326,0.235,0.190850608,0.000786276,2580.995711
259,和歌山,和歌山,0.359681611,4957.695,21,827,5.994794438,4.175,3388522,和歌山,249,58,6,22,0.7,0.301088271,0.000846433,0.070133011,0.070133011,29,26.7,1004,4.937943227,0.267,0.248007968,0.000697211,3375.021912
260,鳥取,鳥  取,0.352057282,3376.53,21,490,6.890877551,4.425,1960153,鳥  取,145,41,7,22,0.9,0.295918367,0.001836735,0.083673469,0.083673469,30,25.9,591,5.713248731,0.259,0.24534687,0.001522843,3316.671743
261,島根,島  根,0.347822085,4180.255,21,592,7.061241554,3.8,2437022,島  根,184,51,7,22,0.9,0.310810811,0.00152027,0.086148649,0.086148649,31,29,718,5.822082173,0.29,0.256267409,0.001253482,3394.181058
262,岡山,岡  山,0.354405562,9160.255,21,1584,5.782989268,4.625,7400748,岡  山,402,131,7,22,1.2,0.253787879,0.000757576,0.08270202,0.08270202,32,24.9,1942,4.716918126,0.249,0.20700309,0.00061792,3810.889804
263,広島,広  島,0.361519053,15609.295,21,2338,6.676345167,4.375,10971359,広  島,607,160,6,22,2.8,0.25962361,0.001197605,0.068434559,0.068434559,33,23.7,2863,5.452076493,0.237,0.212015368,0.000977995,3832.119804
264,山口,山  口,0.361439063,7877.78,21,1208,6.52134106,4.225,5808725,山  口,349,91,6,22,1.5,0.288907285,0.001241722,0.075331126,0.075331126,34,27.5,1455,5.414281787,0.275,0.239862543,0.001030928,3992.250859
265,徳島,徳  島,0.359273732,3735.32,21,655,5.702778626,4.65,2853915,徳  島,152,75,10,22,0.7,0.232061069,0.001068702,0.114503817,0.114503817,35,26.6,789,4.734245881,0.266,0.192648923,0.000887199,3617.129278
266,香川,香  川,0.360131996,4722.055,21,816,5.786832108,4.075,3752452,香  川,215,66,7,22,0.7,0.263480392,0.000857843,0.080882353,0.080882353,36,25.4,999,4.726781782,0.254,0.215215215,0.000700701,3756.208208
267,愛媛,愛  媛,0.363573313,7344.075,21,1189,6.176682086,4.65,4849093,愛  媛,299,93,7,22,1.3,0.251471825,0.001093356,0.078216989,0.078216989,37,26.2,1436,5.114258357,0.262,0.20821727,0.000905292,3376.80571
268,高知,高  知,0.364689133,4853.435,21,642,7.559867601,5.65,2207251,高  知,197,52,7,22,0.9,0.306853583,0.001401869,0.080996885,0.080996885,38,28.4,766,6.336077023,0.284,0.257180157,0.001174935,2881.528721
269,福岡,福  岡,0.363552938,27443.74,21,4106,6.683813931,5.9,17928846,福  岡,1173,334,7,22,5.2,0.285679493,0.001266439,0.081344374,0.081344374,39,22,5053,5.431177518,0.22,0.232139323,0.001029092,3548.158718
270,佐賀,佐  賀,0.354858113,4291.185,21,685,6.26450365,4.225,2760966,佐  賀,220,55,7,22,0.8,0.321167883,0.001167883,0.080291971,0.080291971,40,24.3,852,5.036602113,0.243,0.258215962,0.000938967,3240.570423
271,長崎,長  崎,0.363380971,7678.65,21,1173,6.546163683,4.9,4449008,長  崎,368,107,8,22,1.4,0.31372549,0.001193521,0.091219096,0.091219096,41,25.7,1430,5.369685315,0.257,0.257342657,0.000979021,3111.194406
272,熊本,熊  本,0.369654062,10343.525,21,1469,7.041201498,4.85,5587575,熊  本,451,89,5,22,2.2,0.307011572,0.001497617,0.060585432,0.060585432,42,25.5,1814,5.702053473,0.255,0.24862183,0.001212789,3080.250827
273,大分,大  分,0.361946709,7247.42,21,980,7.395326531,4.6,4216761,大  分,266,51,4,22,1.1,0.271428571,0.001122449,0.052040816,0.052040816,43,26.4,1195,6.064786611,0.264,0.222594142,0.000920502,3528.670293
274,宮崎,宮  崎,0.36403897,8442.175,21,922,9.156372017,4.9,3584104,宮  崎,307,90,8,22,1.2,0.3329718,0.001301518,0.097613883,0.097613883,44,25.6,1132,7.457751767,0.256,0.271201413,0.001060071,3166.169611
275,鹿児島,鹿児島,0.368158273,13720.06,21,1385,9.906180505,5,5513647,鹿児島,414,116,7,22,1.6,0.298916968,0.001155235,0.083754513,0.083754513,45,26.3,1708,8.032822014,0.263,0.242388759,0.000936768,3228.130562
276,北海道,北海道,0.367389282,34117.885,20,4608,7.404054905,5.025,18705954,北海道,1439,280,5,21,8,0.312282986,0.001736111,0.060763889,0.060763889,0,23.6,5535,6.164026197,0.236,0.259981933,0.001445348,3379.576152
277,青森,青  森,0.362738657,9506.61,20,1143,8.317244094,6.1,4550403,青  森,476,106,8,21,0.9,0.416447944,0.000787402,0.092738408,0.092738408,1,24.4,1392,6.829461207,0.244,0.341954023,0.000646552,3268.967672
278,岩手,岩  手,0.357761672,8202.195,20,1112,7.37607464,4.45,4413412,岩  手,459,75,6,21,1.4,0.412769784,0.001258993,0.067446043,0.067446043,2,26.3,1352,6.066712278,0.263,0.339497041,0.001035503,3264.357988
